RPP1  Regional Price Parities,,,,
 ,,,,
Bureau of Economic Analysis ,,,,
Metropolitan Statistical Area,,,,
GeoFips,GeoName,LineCode,Description,2013
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.2
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",1,RPPs: All items,95.2
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",2,  RPPs: Goods,97.9
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,92
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.3
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",1,RPPs: All items,107.7
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2,  RPPs: Goods,104.1
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,111.1
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",4,  RPPs: Services: Other,108.9
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",1,RPPs: All items,86.1
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",2,  RPPs: Goods,92.4
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,74.4
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,91.4
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",1,RPPs: All items,89.9
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",2,  RPPs: Goods,97.2
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,70.8
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.2
12420,"Austin-Round Rock, TX (Metropolitan Statistical Area)",1,RPPs: All items,98.7
12420,"Austin-Round Rock, TX (Metropolitan Statistical Area)",2,  RPPs: Goods,97.6
12420,"Austin-Round Rock, TX (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,110.1
12420,"Austin-Round Rock, TX (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.3
12540,"Bakersfield, CA (Metropolitan Statistical Area)",1,RPPs: All items,97.7
12540,"Bakersfield, CA (Metropolitan Statistical Area)",2,  RPPs: Goods,97.3
12540,"Bakersfield, CA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,93.7
12540,"Bakersfield, CA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,100.5
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",1,RPPs: All items,108.8
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2,  RPPs: Goods,101.7
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,117.4
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",4,  RPPs: Services: Other,110.7
12620,"Bangor, ME (Metropolitan Statistical Area)",1,RPPs: All items,96.8
12620,"Bangor, ME (Metropolitan Statistical Area)",2,  RPPs: Goods,97.8
12620,"Bangor, ME (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,93.9
12620,"Bangor, ME (Metropolitan Statistical Area)",4,  RPPs: Services: Other,97.5
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",1,RPPs: All items,101.5
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",2,  RPPs: Goods,97.8
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,115.8
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,97.5
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",1,RPPs: All items,93
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",2,  RPPs: Goods,96.6
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,85
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.9
12980,"Battle Creek, MI (Metropolitan Statistical Area)",1,RPPs: All items,91.4
12980,"Battle Creek, MI (Metropolitan Statistical Area)",2,  RPPs: Goods,97.5
12980,"Battle Creek, MI (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,74.1
12980,"Battle Creek, MI (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.7
13020,"Bay City, MI (Metropolitan Statistical Area)",1,RPPs: All items,90.2
13020,"Bay City, MI (Metropolitan Statistical Area)",2,  RPPs: Goods,97.5
13020,"Bay City, MI (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,68.7
13020,"Bay City, MI (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.7
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",1,RPPs: All items,90.8
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",2,  RPPs: Goods,97.2
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,72.3
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.2
13220,"Beckley, WV (Metropolitan Statistical Area)",1,RPPs: All items,78
13220,"Beckley, WV (Metropolitan Statistical Area)",2,  RPPs: Goods,92.4
13220,"Beckley, WV (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,49.5
13220,"Beckley, WV (Metropolitan Statistical Area)",4,  RPPs: Services: Other,91.4
13380,"Bellingham, WA (Metropolitan Statistical Area)",1,RPPs: All items,99.7
13380,"Bellingham, WA (Metropolitan Statistical Area)",2,  RPPs: Goods,97.3
13380,"Bellingham, WA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,103.8
13380,"Bellingham, WA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,100.5
13460,"Bend-Redmond, OR (Metropolitan Statistical Area)",1,RPPs: All items,96.3
13460,"Bend-Redmond, OR (Metropolitan Statistical Area)",2,  RPPs: Goods,98.8
13460,"Bend-Redmond, OR (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,95.3
13460,"Bend-Redmond, OR (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94
13740,"Billings, MT (Metropolitan Statistical Area)",1,RPPs: All items,97.4
13740,"Billings, MT (Metropolitan Statistical Area)",2,  RPPs: Goods,97.4
13740,"Billings, MT (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,91.6
13740,"Billings, MT (Metropolitan Statistical Area)",4,  RPPs: Services: Other,100.2
13780,"Binghamton, NY (Metropolitan Statistical Area)",1,RPPs: All items,95.1
13780,"Binghamton, NY (Metropolitan Statistical Area)",2,  RPPs: Goods,97.8
13780,"Binghamton, NY (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,85.4
13780,"Binghamton, NY (Metropolitan Statistical Area)",4,  RPPs: Services: Other,97.5
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1,RPPs: All items,90
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",2,  RPPs: Goods,97.3
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,70.3
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.2
13900,"Bismarck, ND (Metropolitan Statistical Area)",1,RPPs: All items,93.7
13900,"Bismarck, ND (Metropolitan Statistical Area)",2,  RPPs: Goods,97.2
13900,"Bismarck, ND (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,83
13900,"Bismarck, ND (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.5
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",1,RPPs: All items,88.3
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",2,  RPPs: Goods,92.5
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,78.4
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,91.5
14010,"Bloomington, IL (Metropolitan Statistical Area)",1,RPPs: All items,93.8
14010,"Bloomington, IL (Metropolitan Statistical Area)",2,  RPPs: Goods,96.7
14010,"Bloomington, IL (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,85.7
14010,"Bloomington, IL (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.1
14020,"Bloomington, IN (Metropolitan Statistical Area)",1,RPPs: All items,95.6
14020,"Bloomington, IN (Metropolitan Statistical Area)",2,  RPPs: Goods,97
14020,"Bloomington, IN (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,95.4
14020,"Bloomington, IN (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.2
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",1,RPPs: All items,92.2
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",2,  RPPs: Goods,97.8
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,73.4
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,97.5
14260,"Boise City, ID (Metropolitan Statistical Area)",1,RPPs: All items,94.7
14260,"Boise City, ID (Metropolitan Statistical Area)",2,  RPPs: Goods,97.4
14260,"Boise City, ID (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,80.1
14260,"Boise City, ID (Metropolitan Statistical Area)",4,  RPPs: Services: Other,100.3
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",1,RPPs: All items,110.9
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",2,  RPPs: Goods,99.1
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,140.6
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",4,  RPPs: Services: Other,111.2
14500,"Boulder, CO (Metropolitan Statistical Area)",1,RPPs: All items,109.4
14500,"Boulder, CO (Metropolitan Statistical Area)",2,  RPPs: Goods,103.4
14500,"Boulder, CO (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,140.1
14500,"Boulder, CO (Metropolitan Statistical Area)",4,  RPPs: Services: Other,100.7
